"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004888","transmembrane signaling receptor activity","66/1867","344/12387",0.0208389750551748,0.0208389750551748,0.069349243071979,"35832/43469/35900/42956/39443/41638/31767/37556/44484/42530/37191/43832/34304/5740629/53425/34127/35846/42473/36145/42523/38057/318046/32928/39564/42160/31169/42452/35652/5740590/41726/36703/43253/36790/44096/35259/40521/32976/35958/44355/37892/41713/40195/42920/34642/33248/33007/37455/39054/42258/40090/42350/32803/8674066/34826/3346150/31293/2768688/35394/43838/31408/33942/34878/41017/32860/42918/31168",66
"GO:0022836","gated channel activity","41/1867","199/12387",0.021001615751274,0.021001615751274,0.069349243071979,"2768714/37953/31767/44484/42742/34304/42940/42473/36526/32428/36145/7354472/8673965/43487/32928/36095/34299/31955/32468/5740840/40521/40152/42920/37981/32780/39054/33028/39453/5740325/42350/8674091/34991/34826/34921/37614/40664/35394/34557/41428/38133/42918",41
"GO:0022839","monoatomic ion gated channel activity","41/1867","199/12387",0.021001615751274,0.021001615751274,0.069349243071979,"2768714/37953/31767/44484/42742/34304/42940/42473/36526/32428/36145/7354472/8673965/43487/32928/36095/34299/31955/32468/5740840/40521/40152/42920/37981/32780/39054/33028/39453/5740325/42350/8674091/34991/34826/34921/37614/40664/35394/34557/41428/38133/42918",41
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity","13/1867","48/12387",0.0223484370219535,0.0223484370219535,0.0729138797690809,"31767/44484/34304/42473/36145/32928/40521/42920/39054/42350/34826/35394/42918",13
"GO:0004016","adenylate cyclase activity","7/1867","20/12387",0.0223836058854427,0.0223836058854427,0.0729138797690809,"35419/39835/53432/34689/39516/40180/34553",7
"GO:0005126","cytokine receptor binding","6/1867","16/12387",0.023986785874906,0.023986785874906,0.0756681060193951,"32876/33995/31746/36054/31712/42428",6
"GO:0016790","thiolester hydrolase activity","6/1867","16/12387",0.023986785874906,0.023986785874906,0.0756681060193951,"41869/43721/39160/59176/326251/33933",6
"GO:0035250","UDP-galactosyltransferase activity","6/1867","16/12387",0.023986785874906,0.023986785874906,0.0756681060193951,"34742/31061/39265/30970/31056/38561",6
"GO:0051219","phosphoprotein binding","6/1867","16/12387",0.023986785874906,0.023986785874906,0.0756681060193951,"38961/42504/45278/32202/33840/41144",6
"GO:0001223","transcription coactivator binding","5/1867","12/12387",0.0243277917278514,0.0243277917278514,0.0756681060193951,"31429/41944/32536/35540/41273",5
"GO:0005432","calcium:sodium antiporter activity","5/1867","12/12387",0.0243277917278514,0.0243277917278514,0.0756681060193951,"40551/45248/42481/3354991/36190",5
"GO:0015368","calcium:monoatomic cation antiporter activity","5/1867","12/12387",0.0243277917278514,0.0243277917278514,0.0756681060193951,"40551/45248/42481/3354991/36190",5
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","10/1867","34/12387",0.02455684638018,0.02455684638018,0.0758909287592609,"35552/34969/33496/33225/36171/35332/32976/38082/34881/34225",10
"GO:0038024","cargo receptor activity","12/1867","44/12387",0.0261644085108882,0.0261644085108882,0.0803439429968944,"37485/34024/32435/35799/3355123/318890/33604/34087/37536/326235/37999/38698",12
"GO:0003712","transcription coregulator activity","37/1867","181/12387",0.0304133382073648,0.0304133382073648,0.0923804588382454,"32567/33496/32771/41151/38338/33212/34655/38695/34893/31151/2768848/31251/41413/36171/33669/34908/41602/35790/53439/39842/36555/35974/32574/32205/31638/43788/36382/43730/39460/3346237/37601/31293/33906/41134/41090/39217/34225",37
"GO:0001653","peptide receptor activity","14/1867","55/12387",0.0304929456881426,0.0304929456881426,0.0923804588382454,"41638/42530/42523/43253/39516/41713/40195/32803/3346150/2768688/34553/31408/33942/32860",14
"GO:0015297","antiporter activity","11/1867","40/12387",0.030659016907016,0.030659016907016,0.0923804588382454,"42429/33128/40551/37983/45248/42481/3354991/38429/41640/37427/36190",11
