"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004725","protein tyrosine phosphatase activity","13/2553","29/12387",0.00282301044553732,0.00282301044553732,0.0145451507720205,"35259/43469/3772427/40081/45278/43466/36790/38059/34954/39443/31425/37461/31266",13
"GO:0008187","poly-pyrimidine tract binding","8/2553","14/12387",0.00291570978103939,0.00291570978103939,0.0147130227692167,"3772180/31000/31086/32245/39919/37070/37914/38605",8
"GO:0140312","cargo adaptor activity","8/2553","14/12387",0.00291570978103939,0.00291570978103939,0.0147130227692167,"41150/32987/31842/31647/42835/31902/41744/33211",8
"GO:0030594","neurotransmitter receptor activity","22/2553","60/12387",0.00296368861528643,0.00296368861528643,0.0148025263813984,"34826/40521/34304/41726/31767/36145/42350/43806/43484/37191/43822/40955/41426/39730/42918/43182/37892/41017/33007/42920/35394/39054",22
"GO:0008047","enzyme activator activity","48/2553","160/12387",0.00300672376941608,0.00300672376941608,0.0148657794022167,"33338/33156/45922/41749/32874/41252/38017/33048/37037/35267/34803/5740235/41341/39385/33214/34974/41675/36698/36295/41912/43149/35287/33046/32898/41034/32799/43312/32674/34250/36554/38879/40702/41390/35359/42371/43832/32797/32088/44233/43758/39693/35378/40201/39858/32274/31011/33263/34032",48
"GO:0098960","postsynaptic neurotransmitter receptor activity","18/2553","46/12387",0.00307123223564984,0.00307123223564984,0.0150328735744966,"34826/40521/34304/41726/31767/36145/42350/43484/40955/41426/39730/42918/43182/37892/33007/42920/35394/39054",18
"GO:1901981","phosphatidylinositol phosphate binding","26/2553","75/12387",0.00322674360605354,0.00322674360605354,0.015637683968889,"3885642/32746/31803/35956/41074/40649/8673965/35425/42797/35340/41353/35993/41085/41551/33466/40863/40152/38879/5740131/31704/39052/31816/38306/35929/35058/43310",26
"GO:0004222","metalloendopeptidase activity","21/2553","57/12387",0.00341780145855355,0.00341780145855355,0.0164012144295914,"40588/34189/36908/31490/43558/36740/39533/37949/39922/35997/44002/3772676/43501/33005/41887/3772109/31253/31547/35748/42449/49580",21
"GO:0003714","transcription corepressor activity","20/2553","54/12387",0.00394056579077815,0.00394056579077815,0.0187262451988946,"44027/34064/33212/40046/32225/40092/40693/38695/34225/34655/34908/31251/41151/41134/41602/36171/37886/43730/34893/32574",20
"GO:0005096","GTPase activator activity","28/2553","84/12387",0.0043408877147142,0.0043408877147142,0.0204302913698593,"33338/33156/41749/32874/41252/33048/37037/35267/34803/5740235/39385/36698/43149/33046/32898/32674/36554/38879/41390/35359/42371/43832/32088/43758/39693/40201/33263/34032",28
"GO:1901681","sulfur compound binding","19/2553","51/12387",0.00454184762991233,0.00454184762991233,0.0206726548063195,"31845/45973/46415/36048/41625/33972/39899/33492/31002/34192/41417/37603/44965/38047/41195/36746/45280/43832/34009",19
"GO:0061630","ubiquitin protein ligase activity","45/2553","151/12387",0.0045596824608268,0.0045596824608268,0.0206726548063195,"39735/32882/38715/39035/40040/43810/36999/33932/38652/39958/40555/31589/41080/42397/36990/326135/35170/45775/34453/317987/32796/32532/41145/318246/32765/31628/38006/33565/39750/39558/35076/40144/38961/41420/36425/41085/39885/36541/31905/318953/5740853/38873/37857/31746/41826",45
"GO:0019207","kinase regulator activity","30/2553","92/12387",0.00464530599803694,0.00464530599803694,0.0206726548063195,"33156/32132/38017/40305/34924/43724/36041/41341/33214/34974/33203/36295/41912/37098/32771/40998/32407/42971/39340/41034/42515/34250/32752/42279/44233/35378/35786/39858/32760/41801",30
"GO:0001223","transcription coactivator binding","7/2553","12/12387",0.00464579016615136,0.00464579016615136,0.0206726548063195,"41273/33761/31429/41944/35540/34242/32536",7
"GO:0070717","poly-purine tract binding","7/2553","12/12387",0.00464579016615136,0.00464579016615136,0.0206726548063195,"3772180/31086/37070/37914/33968/38605/35788",7
"GO:0098632","cell-cell adhesion mediator activity","7/2553","12/12387",0.00464579016615136,0.00464579016615136,0.0206726548063195,"318841/36284/31364/46015/2769008/36283/38788",7
"GO:0042626","ATPase-coupled transmembrane transporter activity","31/2553","96/12387",0.0047710747297241,0.0047710747297241,0.0210388786090252,"48971/45012/43772/318066/36826/49297/42341/43391/32142/43442/42382/37293/31271/41550/33103/34148/38521/42362/42216/31342/43787/34997/38193/33541/43186/44307/31235/34140/40679/45668/33540",31
"GO:0019208","phosphatase regulator activity","14/2553","34/12387",0.00506646557436696,0.00506646557436696,0.0219460315983292,"37820/43724/40032/46456/41675/43312/35034/34001/38714/41414/40702/31979/47877/49070",14
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","14/2553","34/12387",0.00506646557436696,0.00506646557436696,0.0219460315983292,"35332/34064/43856/34969/35552/35147/33225/44849/34225/47767/38082/34242/36171/34881",14
"GO:0019955","cytokine binding","8/2553","15/12387",0.00512656621987491,0.00512656621987491,0.0220115724122053,"44096/33753/40288/42560/41772/43222/34490/45280",8
"GO:0019888","protein phosphatase regulator activity","13/2553","31/12387",0.00568348489041039,0.00568348489041039,0.0241905764214264,"37820/43724/40032/46456/41675/43312/35034/34001/38714/41414/40702/31979/47877",13
"GO:0004842","ubiquitin-protein transferase activity","51/2553","178/12387",0.00631236036152663,0.00631236036152663,0.0266356403639735,"41260/39735/32882/38715/39035/40040/43810/36999/33932/38652/39958/40555/31589/41080/42397/32751/36990/326135/35170/45775/34453/317987/32796/36129/32532/41145/318246/32765/31628/38006/38591/33565/44054/39750/39558/35076/44118/40144/38961/41420/36425/41085/39885/36541/31905/318953/5740853/38873/37857/31746/41826",51
