"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016791","phosphatase activity","48/2553","181/12387",0.0322900335289541,0.0322900335289541,0.0924276121327404,"31544/37925/31404/38148/32888/42922/35259/43670/43469/37493/3772427/33845/31500/40081/36968/45278/36911/33396/33107/39748/8674098/44148/35126/35856/43466/36790/33653/32629/38059/36253/39741/40117/33140/32624/34954/40471/39404/37517/31157/40224/39337/42986/39443/31425/37461/40468/39985/31266",48
"GO:0003713","transcription coactivator activity","25/2553","85/12387",0.0340203222901799,0.0340203222901799,0.0967332658966714,"43791/36061/33761/43856/31638/39460/32771/40693/47767/32567/31293/38338/36555/53439/32363/39842/41602/34242/36171/33044/32787/43788/39217/43928/31151",25
"GO:0034593","phosphatidylinositol bisphosphate phosphatase activity","6/2553","13/12387",0.0343871158123006,0.0343871158123006,0.0967332658966714,"33845/36911/32629/39404/37517/31157",6
"GO:0072341","modified amino acid binding","6/2553","13/12387",0.0343871158123006,0.0343871158123006,0.0967332658966714,"32290/3355111/33473/33524/31704/43783",6
"GO:0008237","metallopeptidase activity","36/2553","131/12387",0.0356711519261578,0.0356711519261578,0.0997719437333136,"34296/41635/40588/34189/42747/36908/31490/43558/36740/38175/37221/39533/37949/39922/35997/44002/318037/43184/33017/43444/3772676/43501/42762/33005/41887/3772109/31253/31547/32329/246416/35748/42449/42557/34041/49580/246412",36
"GO:0015399","primary active transmembrane transporter activity","35/2553","127/12387",0.0364718883083009,0.0364718883083009,0.100996605279733,"48971/45012/43772/318066/36826/49297/42341/43391/35242/32142/43442/42382/37293/31271/36768/41550/33103/34148/38521/42362/42216/31342/43787/34997/38193/33541/39926/43186/44307/31235/38286/34140/40679/45668/33540",35
"GO:0005109","frizzled binding","5/2553","10/12387",0.036934349952298,0.036934349952298,0.100996605279733,"34007/35975/35922/34009/41104",5
"GO:0052742","phosphatidylinositol kinase activity","5/2553","10/12387",0.036934349952298,0.036934349952298,0.100996605279733,"40670/45374/39329/3885565/37033",5
"GO:0070888","E-box binding","5/2553","10/12387",0.036934349952298,0.036934349952298,0.100996605279733,"39935/35404/31384/38995/35066",5
"GO:0022804","active transmembrane transporter activity","61/2553","239/12387",0.0371865867405659,0.0371865867405659,0.101121420083995,"48971/45012/43772/31082/37983/38429/318066/36826/49297/42341/43391/35242/32142/43442/42481/42382/39587/37293/31271/41640/31317/36768/39255/41550/33103/34148/38521/42362/39939/59223/34117/40551/35111/42216/31342/34863/43787/34997/3354991/38193/33541/39926/43186/37772/34251/44307/31235/37157/45248/38286/34140/40679/34268/45668/39943/36190/33128/39410/33540/41316/35915",61
"GO:0004722","protein serine/threonine phosphatase activity","16/2553","50/12387",0.0393018429934342,0.0393018429934342,0.106282971747292,"37925/31404/42922/43670/37493/33107/39748/8674098/44148/35126/35856/33140/32624/40224/39337/31266",16
"GO:0005253","monoatomic anion channel activity","11/2553","31/12387",0.0397511885274369,0.0397511885274369,0.10690747637512,"41428/32148/31071/36145/42350/38727/41426/39730/32645/53431/39054",11
"GO:0015103","inorganic anion transmembrane transporter activity","20/2553","66/12387",0.0403724694965009,0.0403724694965009,0.107985034891417,"41428/31082/32148/31071/36145/42350/36651/41640/38727/41426/35111/39367/39730/32786/32645/36865/43636/53431/39410/39054",20
"GO:0019205","nucleobase-containing compound kinase activity","9/2553","24/12387",0.0429141986476672,0.0429141986476672,0.114159624549,"39396/32083/44750/42894/39479/43739/39213/43647/44861",9
"GO:0016776","phosphotransferase activity, phosphate group as acceptor","7/2553","17/12387",0.0435696366500261,0.0435696366500261,0.1146569385527,"39396/32083/33137/43739/39213/43647/44861",7
"GO:0019213","deacetylase activity","7/2553","17/12387",0.0435696366500261,0.0435696366500261,0.1146569385527,"33026/38736/32461/43433/31480/32278/35002",7
"GO:0008514","organic anion transmembrane transporter activity","34/2553","125/12387",0.0460892348069112,0.0460892348069112,0.120638863975309,"43265/39231/43772/31082/32924/32925/36577/39232/43445/35911/31553/39662/40080/39876/35941/31271/41640/35499/32986/36764/34863/32694/37772/34251/38104/33600/37157/35578/36630/34268/39943/39410/31198/42268",34
"GO:0016746","acyltransferase activity","92/2553","380/12387",0.0467199102957484,0.0467199102957484,0.121639184140666,"33681/41260/42249/37852/39735/32882/34634/38715/39035/40040/43856/43810/36999/38355/33932/38652/42074/39958/40555/33855/40567/31589/41080/42397/32751/41176/36990/3355111/43504/326135/35170/31512/45775/34453/317987/34313/32796/36129/32532/41145/318246/32765/5740408/42162/31628/36465/42265/38006/317976/38591/33565/44054/33524/39750/35597/39558/35076/44118/40144/38961/41420/36425/50253/41085/33956/39885/33874/40093/36541/35087/32950/41195/32747/36043/32230/31905/37218/34430/32278/318953/5740853/38873/36045/39747/37857/31746/38812/39217/43928/31887/41212/41826",92
"GO:0005200","structural constituent of cytoskeleton","11/2553","32/12387",0.0496514546791391,0.0496514546791391,0.127241258891153,"38978/32746/33501/39130/34894/37888/38898/33782/40848/33444/41392",11
"GO:0005201","extracellular matrix structural constituent","11/2553","32/12387",0.0496514546791391,0.0496514546791391,0.127241258891153,"2768990/36880/31111/37057/318824/38769/3771890/33727/50424/36089/32912",11
"GO:0060590","ATPase regulator activity","11/2553","32/12387",0.0496514546791391,0.0496514546791391,0.127241258891153,"39557/31554/38204/35698/33953/31215/40233/35287/33952/35408/36508",11
"GO:0045309","protein phosphorylated amino acid binding","6/2553","14/12387",0.0499324633293505,0.0499324633293505,0.127294931185022,"33203/45278/33840/38961/41144/32202",6
