"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016773","phosphotransferase activity, alcohol group as acceptor","7/126","295/12387",0.0309870266784153,0.0309870266784153,0.12151775168006,"38649/36706/33543/33284/38070/39732/38890",7
"GO:0030545","signaling receptor regulator activity","4/126","118/12387",0.0322577347849941,0.0322577347849941,0.124068210711516,"42313/39150/42560/36295",4
"GO:0016301","kinase activity","8/126","366/12387",0.0332392085100028,0.0332392085100028,0.125430975509445,"38649/36706/33543/33284/38070/32083/39732/38890",8
"GO:0019899","enzyme binding","9/126","438/12387",0.0346248112659913,0.0346248112659913,0.128240041725894,"38714/37864/38337/35293/33218/32898/42150/31321/41783",9
"GO:0004713","protein tyrosine kinase activity","2/126","30/12387",0.0370942644547944,0.0370942644547944,0.134888234381071,"33543/38070",2
"GO:0005253","monoatomic anion channel activity","2/126","31/12387",0.0393937302740444,0.0393937302740444,0.140691893835873,"39054/32148",2
"GO:0008017","microtubule binding","4/126","128/12387",0.0415514231484624,0.0415514231484624,0.141511861671686,"31620/31350/35293/31321",4
"GO:0019903","protein phosphatase binding","2/126","32/12387",0.0417459991931474,0.0417459991931474,0.141511861671686,"38714/35293",2
"GO:0060590","ATPase regulator activity","2/126","32/12387",0.0417459991931474,0.0417459991931474,0.141511861671686,"38327/38204",2
"GO:0016772","transferase activity, transferring phosphorus-containing groups","9/126","460/12387",0.044971488701928,0.044971488701928,0.14990496233976,"40965/38649/36706/33543/33284/38070/32083/39732/38890",9
"GO:0019904","protein domain specific binding","3/126","80/12387",0.047965236831803,0.047965236831803,0.157263071579682,"42034/40090/32078",3
